pref,date,ML,Low_90,High_90,Low_50,High_50
三重県,2020-01-16,3.00,0.86,6.84,1.86,4.27
三重県,2020-01-17,3.00,0.88,6.87,1.80,4.22
三重県,2020-01-18,3.01,0.90,6.90,1.84,4.26
三重県,2020-01-19,3.01,0.85,6.87,1.90,4.32
三重県,2020-01-20,3.01,0.86,6.89,1.83,4.26
三重県,2020-01-21,3.02,0.88,6.92,1.88,4.31
三重県,2020-01-22,3.02,0.83,6.89,1.82,4.26
三重県,2020-01-23,3.02,0.84,6.91,1.86,4.30
三重県,2020-01-24,3.03,0.86,6.94,1.93,4.37
三重県,2020-01-25,3.03,0.89,6.98,1.84,4.29
三重県,2020-01-26,3.03,0.82,6.93,1.90,4.35
三重県,2020-01-27,3.04,0.83,6.95,1.83,4.29
三重県,2020-01-28,3.04,0.84,6.97,1.87,4.33
三重県,2020-01-29,3.04,0.79,6.94,1.81,4.28
三重県,2020-01-30,3.05,0.79,6.95,1.85,4.32
三重県,2020-01-31,3.05,0.80,6.97,1.92,4.39
三重県,2020-02-01,3.05,0.81,6.99,1.84,4.32
三重県,2020-02-02,3.05,0.83,7.02,1.89,4.37
三重県,2020-02-03,3.06,0.76,6.97,1.82,4.31
三重県,2020-02-04,3.06,0.76,6.98,1.86,4.35
三重県,2020-02-05,3.06,0.77,7.00,1.94,4.43
三重県,2020-02-06,3.07,0.77,7.01,1.85,4.35
三重県,2020-02-07,3.07,0.78,7.03,1.90,4.40
三重県,2020-02-08,3.07,0.80,7.06,1.83,4.34
三重県,2020-02-09,3.08,0.72,7.00,1.87,4.38
三重県,2020-02-10,3.08,0.72,7.01,1.96,4.47
三重県,2020-02-11,3.08,0.72,7.02,1.85,4.37
三重県,2020-02-12,3.08,0.73,7.04,1.91,4.43
三重県,2020-02-13,3.09,0.73,7.05,1.84,4.37
三重県,2020-02-14,3.09,0.73,7.06,1.88,4.41
三重県,2020-02-15,3.09,0.73,7.07,1.82,4.36
三重県,2020-02-16,3.10,0.73,7.08,1.86,4.40
三重県,2020-02-17,3.10,0.73,7.09,1.91,4.45
三重県,2020-02-18,3.10,0.73,7.10,1.84,4.39
三重県,2020-02-19,3.10,0.74,7.12,1.88,4.43
三重県,2020-02-20,3.11,0.75,7.14,1.82,4.38
三重県,2020-02-21,3.11,0.64,7.05,1.86,4.42
三重県,2020-02-22,3.11,0.64,7.06,1.92,4.48
三重県,2020-02-23,3.12,0.63,7.06,1.84,4.41
三重県,2020-02-24,3.12,0.63,7.07,1.89,4.46
三重県,2020-02-25,3.12,0.62,7.07,1.82,4.40
三重県,2020-02-26,3.12,0.61,7.07,1.86,4.44
三重県,2020-02-27,3.13,0.60,7.07,1.92,4.50
三重県,2020-02-28,3.13,0.69,7.16,1.84,4.43
三重県,2020-02-29,3.13,0.67,7.15,1.88,4.47
三重県,2020-03-01,3.13,0.65,7.14,1.82,4.42
三重県,2020-03-02,3.14,0.64,7.14,1.86,4.46
三重県,2020-03-03,3.14,0.62,7.13,1.91,4.51
三重県,2020-03-04,3.14,0.61,7.13,1.84,4.45
三重県,2020-03-05,3.14,0.59,7.12,1.88,4.49
三重県,2020-03-06,3.15,0.58,7.12,1.96,4.57
三重県,2020-03-07,3.15,0.56,7.11,1.86,4.48
三重県,2020-03-08,3.15,0.55,7.11,1.90,4.52
三重県,2020-03-09,3.16,0.53,7.10,1.83,4.46
三重県,2020-03-10,3.00,0.55,6.36,1.86,4.22
三重県,2020-03-11,2.88,0.53,5.88,1.80,3.99
三重県,2020-03-12,2.78,0.57,5.59,1.70,3.77
三重県,2020-03-13,2.69,0.48,5.26,1.72,3.69
三重県,2020-03-14,2.61,0.47,5.05,1.59,3.49
三重県,2020-03-15,2.29,0.25,4.46,1.32,3.09
三重県,2020-03-16,2.29,0.22,4.44,1.37,3.14
三重県,2020-03-17,2.30,0.19,4.42,1.32,3.10
三重県,2020-03-18,2.30,0.16,4.40,1.37,3.15
三重県,2020-03-19,2.30,0.22,4.46,1.32,3.11
三重県,2020-03-20,2.30,0.18,4.43,1.37,3.16
三重県,2020-03-21,2.30,0.15,4.41,1.32,3.12
三重県,2020-03-22,2.30,0.22,4.48,1.37,3.17
三重県,2020-03-23,2.30,0.16,4.43,1.31,3.12
三重県,2020-03-24,2.31,0.13,4.41,1.36,3.17
三重県,2020-03-25,2.31,0.20,4.48,1.31,3.13
