pref,date,ML,Low_90,High_90,Low_50,High_50
あきる野市,2020-03-31,3.00,0.86,6.84,1.86,4.27
あきる野市,2020-04-01,3.03,0.87,6.96,1.84,4.29
あきる野市,2020-04-02,3.06,0.81,7.01,1.82,4.31
あきる野市,2020-04-03,3.08,0.76,7.06,1.91,4.43
あきる野市,2020-04-04,3.11,0.64,7.04,1.86,4.42
あきる野市,2020-04-05,3.13,0.60,7.08,1.82,4.42
あきる野市,2020-04-06,2.62,0.30,5.60,1.49,3.67
あきる野市,2020-04-07,2.64,0.24,5.60,1.48,3.70
あきる野市,2020-04-08,2.66,0.20,5.61,1.59,3.84
あきる野市,2020-04-09,2.68,0.23,5.68,1.51,3.80
あきる野市,2020-04-10,2.69,0.13,5.63,1.46,3.79
あきる野市,2020-04-11,2.70,0.10,5.64,1.51,3.87
あきる野市,2020-04-12,2.72,0.13,5.70,1.42,3.82
あきる野市,2020-04-13,2.73,0.07,5.68,1.43,3.86
あきる野市,2020-04-14,2.73,0.08,5.72,1.43,3.89
あきる野市,2020-04-15,2.74,0.02,5.70,1.42,3.91
あきる野市,2020-04-16,2.16,0.00,4.77,0.83,3.03
あきる野市,2020-04-17,2.15,0.00,4.80,0.82,3.04
あきる野市,2020-04-18,2.13,0.00,4.84,0.78,3.02
あきる野市,2020-04-19,2.12,0.00,4.87,0.71,2.97
あきる野市,2020-04-20,0.87,0.00,4.19,0.22,2.14
あきる野市,2020-04-21,0.82,0.00,4.22,0.29,2.21
あきる野市,2020-04-22,0.81,0.00,4.25,0.25,2.18
あきる野市,2020-04-23,0.81,0.00,4.29,0.23,2.17
あきる野市,2020-04-24,0.82,0.00,4.13,0.21,2.08
あきる野市,2020-04-25,0.82,0.00,4.00,0.20,2.01
あきる野市,2020-04-26,0.62,0.00,3.54,0.13,1.66
あきる野市,2020-04-27,0.63,0.00,3.57,0.14,1.68
あきる野市,2020-04-28,0.64,0.00,3.61,0.16,1.71
あきる野市,2020-04-29,0.55,0.00,3.21,0.07,1.40
あきる野市,2020-04-30,0.57,0.00,3.25,0.12,1.46
あきる野市,2020-05-01,0.58,0.00,3.29,0.08,1.44
あきる野市,2020-05-02,0.60,0.00,3.32,0.16,1.53
あきる野市,2020-05-03,0.60,0.00,3.36,0.10,1.49
あきる野市,2020-05-04,0.61,0.00,3.40,0.08,1.49
あきる野市,2020-05-05,0.62,0.00,3.43,0.12,1.54
あきる野市,2020-05-06,0.62,0.00,3.47,0.09,1.53
三鷹市,2020-03-31,3.00,0.86,6.84,1.86,4.27
三鷹市,2020-04-01,3.03,0.87,6.96,1.84,4.29
三鷹市,2020-04-02,3.06,0.81,7.01,1.82,4.31
三鷹市,2020-04-03,3.08,0.76,7.06,1.91,4.43
三鷹市,2020-04-04,3.11,0.64,7.04,1.86,4.42
三鷹市,2020-04-05,2.61,0.43,5.67,1.56,3.70
三鷹市,2020-04-06,2.63,0.35,5.66,1.56,3.74
三鷹市,2020-04-07,2.66,0.30,5.67,1.54,3.76
三鷹市,2020-04-08,3.36,0.74,6.59,2.11,4.52
三鷹市,2020-04-09,2.07,0.04,4.16,1.05,2.87
三鷹市,2020-04-10,2.08,0.05,4.21,1.01,2.87
三鷹市,2020-04-11,2.08,0.06,4.26,1.06,2.95
三鷹市,2020-04-12,1.70,0.00,3.79,0.62,2.38
三鷹市,2020-04-13,1.68,0.00,3.83,0.61,2.39
三鷹市,2020-04-14,0.93,0.00,3.47,0.32,1.91
三鷹市,2020-04-15,0.82,0.00,3.51,0.29,1.89
三鷹市,2020-04-16,0.82,0.00,3.38,0.25,1.79
三鷹市,2020-04-17,0.82,0.00,3.27,0.23,1.72
三鷹市,2020-04-18,0.53,0.00,2.74,0.11,1.28
三鷹市,2020-04-19,0.55,0.00,2.79,0.07,1.26
三鷹市,2020-04-20,0.57,0.00,2.83,0.12,1.32
三鷹市,2020-04-21,0.59,0.00,2.83,0.14,1.34
三鷹市,2020-04-22,0.60,0.00,2.82,0.16,1.36
三鷹市,2020-04-23,0.61,0.00,2.82,0.10,1.31
三鷹市,2020-04-24,0.54,0.00,2.61,0.08,1.17
三鷹市,2020-04-25,0.55,0.00,2.66,0.08,1.19
三鷹市,2020-04-26,0.50,0.00,2.46,0.06,1.07
三鷹市,2020-04-27,0.52,0.00,2.51,0.08,1.11
三鷹市,2020-04-28,0.53,0.00,2.56,0.10,1.15
三鷹市,2020-04-29,0.54,0.00,2.61,0.13,1.20
三鷹市,2020-04-30,0.50,0.00,2.42,0.09,1.07
三鷹市,2020-05-01,0.51,0.00,2.47,0.05,1.06
三鷹市,2020-05-02,0.53,0.00,2.52,0.07,1.10
三鷹市,2020-05-03,0.54,0.00,2.56,0.09,1.14
三鷹市,2020-05-04,0.49,0.00,2.38,0.03,1.00
三鷹市,2020-05-05,0.51,0.00,2.43,0.06,1.05
三鷹市,2020-05-06,0.52,0.00,2.48,0.09,1.10
世田谷区,2020-03-31,3.00,0.86,6.84,1.86,4.27
世田谷区,2020-04-01,2.93,1.04,5.26,2.04,3.81
世田谷区,2020-04-02,2.61,0.96,4.42,1.79,3.24
世田谷区,2020-04-03,2.40,0.87,3.96,1.74,3.02
世田谷区,2020-04-04,2.13,0.69,3.53,1.45,2.63
世田谷区,2020-04-05,1.85,0.48,3.15,1.18,2.30
世田谷区,2020-04-06,1.73,0.38,2.97,1.13,2.22
世田谷区,2020-04-07,1.72,0.37,2.93,1.12,2.20
世田谷区,2020-04-08,1.79,0.42,2.97,1.16,2.23
世田谷区,2020-04-09,1.82,0.51,3.01,1.25,2.29
世田谷区,2020-04-10,1.75,0.43,2.86,1.20,2.21
世田谷区,2020-04-11,1.61,0.36,2.70,1.03,2.02
世田谷区,2020-04-12,1.49,0.29,2.56,0.94,1.91
世田谷区,2020-04-13,1.24,0.10,2.23,0.66,1.61
世田谷区,2020-04-14,1.10,0.00,2.05,0.53,1.46
世田谷区,2020-04-15,1.05,0.00,2.03,0.46,1.39
世田谷区,2020-04-16,1.00,0.00,2.01,0.45,1.37
世田谷区,2020-04-17,0.96,0.00,1.99,0.47,1.38
